YEAR,IceMass
2002.29,0.00
2002.35,22.73
2002.62,-54.14
2002.71,45.96
2002.79,68.84
2002.87,-62.18
2002.96,-44.37
2003.04,-50.10
2003.12,-198.70
2003.20,-166.67
2003.29,-38.37
2003.36,4.04
2003.54,-121.34
2003.62,-116.16
2003.71,-124.89
2003.79,-41.89
2003.87,-101.01
2003.96,-266.07
2004.02,-326.65
2004.13,-484.77
2004.21,-332.09
2004.29,-379.37
2004.37,-150.18
2004.46,-182.27
2004.54,-306.96
2004.62,-161.41
2004.71,-157.01
2004.79,-79.90
2004.87,-222.16
2004.96,-300.86
2005.04,-386.69
2005.12,-449.12
2005.20,-400.06
2005.29,-245.87
2005.37,-224.47
2005.46,-200.50
2005.54,-154.37
2005.62,-204.02
2005.71,-107.31
2005.79,-100.51
2005.87,-53.93
2005.96,-158.86
2006.04,-219.45
2006.12,-312.54
2006.20,-177.62
2006.29,-152.59
2006.37,-74.61
2006.45,-45.09
2006.54,-94.59
2006.62,-4.39
2006.71,-16.92
2006.79,-91.26
2006.87,-83.49
2006.96,-229.14
2007.04,-433.26
2007.12,-423.94
2007.20,-355.26
2007.29,-330.57
2007.37,-173.83
2007.45,-186.07
2007.54,-263.14
2007.62,-226.67
2007.71,-153.12
2007.79,-241.82
2007.87,-433.98
2007.96,-516.54
2008.04,-723.77
2008.12,-602.58
2008.21,-734.83
2008.29,-557.66
2008.37,-468.49
2008.46,-551.82
2008.54,-646.37
2008.62,-597.99
2008.71,-437.56
2008.79,-527.74
2008.87,-515.65
2008.96,-619.85
2009.04,-701.19
2009.12,-675.54
2009.20,-612.72
2009.29,-573.90
2009.37,-547.87
2009.46,-535.39
2009.54,-434.33
2009.62,-464.44
2009.71,-477.16
2009.79,-532.58
2009.87,-518.39
2009.96,-627.92
2010.04,-798.00
2010.12,-803.82
2010.20,-685.53
2010.29,-754.48
2010.37,-776.73
2010.45,-792.97
2010.54,-992.78
2010.62,-919.45
2010.71,-841.56
2010.79,-873.57
2010.87,-893.29
2010.95,-906.28
2011.13,-998.11
-2011.20,1012.20
-2011.29,1023.37
2011.37,-957.14
2011.54,-906.26
2011.62,-921.44
2011.71,-832.74
2011.79,-878.24
2011.83,-873.48
-2012.00,1140.94
-2012.04,1070.21
-2012.12,1133.12
-2012.21,1110.50
-2012.26,1050.33
-2012.46,1087.24
-2012.54,1053.64
2012.62,-974.45
2012.70,-941.07
-2012.88,1063.30
-2012.96,1110.30
-2013.04,1279.21
-2013.12,1386.84
-2013.30,1128.08
-2013.37,1229.69
-2013.46,1238.44
-2013.54,1200.78
-2013.79,1292.62
-2013.87,1339.27
-2013.96,1391.14
-2014.02,1500.42
-2014.20,1606.59
-2014.29,1526.26
-2014.37,1432.31
-2014.45,1476.95
-2014.62,1525.56
-2014.71,1353.50
-2014.79,1441.29
-2014.88,1516.18
-2015.06,1820.40
-2015.12,1897.10
-2015.20,1861.66
-2015.29,1840.61
-2015.32,1768.43
-2015.53,1736.33
-2015.62,1886.90
-2015.70,1839.53
-2015.98,1883.57
-2016.04,1905.03
-2016.12,1980.89
-2016.21,1916.64
-2016.38,1780.31
-2016.46,1762.72
-2016.54,1644.92
-2016.64,1590.48
-2016.91,1662.31
-2016.98,1574.68
-2017.06,1593.98
-2017.25,1914.04
-2017.31,1836.56
-2017.36,1801.53
-2017.44,1799.04
-2018.45,1970.12
-2018.52,1985.73
-2018.83,2245.16
-2018.87,2209.43
-2018.96,2261.39
-2019.04,2352.12
-2019.12,2395.34
-2019.20,2299.27
-2019.29,2119.18
-2019.37,2172.76
-2019.45,2264.68
-2019.54,2169.00
-2019.62,2214.14
-2019.71,2088.68
-2019.79,2272.13
-2019.87,2332.82
-2019.96,2377.78
-2020.04,2686.04
-2020.12,2795.83
-2020.21,2613.57
-2020.29,2519.50
-2020.37,2441.30
-2020.46,2407.58
-2020.54,2338.97
-2020.62,2230.83
-2020.71,2417.94
-2020.79,2518.88
-2020.87,2564.38
-2020.96,2717.40
-2021.04,3032.42
-2021.12,2716.87
-2021.20,2669.82
-2021.29,2458.16
-2021.37,2440.81
-2021.46,2606.03
-2021.54,2652.33
-2021.62,2605.53
-2021.71,2671.54
-2021.79,2525.54
-2021.87,2860.01
-2021.96,2745.95
-2022.04,2704.71
-2022.12,2660.98
-2022.20,2626.35
-2022.29,2292.90
-2022.37,2149.28
-2022.45,2350.81
